E	parallel tempering	Wang-Landau	REWL	exact
-332.0	-62.83701804490818	-61.85488700866699	-61.9144344329834	-61.884357042498976
-328.0	-61.479584555064775	-60.50512504577637	-60.56319808959961	-60.5366676254645
-324.0	-60.10714987779522	-59.160762786865234	-59.23514747619629	-59.20006272058984
-320.0	-58.84986443865	-57.84451866149902	-57.91239547729492	-57.87467236975965
-316.0	-57.508975624279856	-56.52972412109375	-56.5968017578125	-56.56062705874825
-312.0	-56.20728364881154	-55.22168159484863	-55.29079818725586	-55.258057731931785
-308.0	-54.98378834030677	-53.93005561828613	-53.99941444396973	-53.96709580320794
-304.0	-53.70948520843274	-52.64835548400879	-52.70799255371094	-52.687873163606156
-300.0	-52.295086939370776	-51.38100051879883	-51.43254470825195	-51.42052218598772
-296.0	-51.05848320266773	-50.12658500671387	-50.1745719909668	-50.165175727156736
-292.0	-49.77130066261225	-48.87603569030762	-48.9338436126709	-48.92196712763777
-288.0	-48.61469742094471	-47.64291000366211	-47.6980094909668	-47.69103020931638
-284.0	-47.37461932487224	-46.411176681518555	-46.48640441894531	-46.472499271088935
-280.0	-46.07805628697736	-45.20387840270996	-45.27781295776367	-45.26650908262417
-276.0	-45.01094562294509	-44.02101707458496	-44.089975357055664	-44.07319487630275
-272.0	-43.77043240644764	-42.84343719482422	-42.91633415222168	-42.89269233737025
-268.0	-42.629917487753005	-41.67815399169922	-41.7460880279541	-41.72513759231225
-264.0	-41.450030446070286	-40.53720283508301	-40.59966278076172	-40.57066719543968
-260.0	-40.359124821240925	-39.40012550354004	-39.45665740966797	-39.429418113654464
-256.0	-39.210415789526905	-38.27388954162598	-38.329233169555664	-38.30152770935021
-252.0	-37.92748581404237	-37.15545654296875	-37.21790313720703	-37.18713372139206
-248.0	-36.93939044896081	-36.06412696838379	-36.11430549621582	-36.086374244108754
-244.0	-35.857764370742984	-34.97244071960449	-35.030935287475586	-34.99938770422247
