E	Sunny	MCX bridge	MCX native	exact
-280.0	-45.30678367614746	-45.20387840270996	-45.331106185913086	-45.26650908262417
-276.0	-44.10888481140137	-44.02101707458496	-44.134809494018555	-44.07319487630275
-272.0	-42.92506408691406	-42.84343719482422	-42.95229148864746	-42.89269233737025
-268.0	-41.76219367980957	-41.67815399169922	-41.78304672241211	-41.72513759231225
-264.0	-40.597476959228516	-40.53720283508301	-40.62845802307129	-40.57066719543968
-260.0	-39.45646095275879	-39.40012550354004	-39.48316764831543	-39.429418113654464
-256.0	-38.32974052429199	-38.27388954162598	-38.3485221862793	-38.30152770935021
-252.0	-37.218170166015625	-37.15545654296875	-37.240875244140625	-37.18713372139206
-248.0	-36.11169624328613	-36.06412696838379	-36.1511173248291	-36.086374244108754
-244.0	-35.030818939208984	-34.97244071960449	-35.059247970581055	-34.99938770422247
-240.0	-33.94979667663574	-33.90297889709473	-33.9863395690918	-33.926312835636196
-236.0	-32.88693618774414	-32.85154342651367	-32.931396484375	-32.86728865199177
-232.0	-31.826820373535156	-31.81277084350586	-31.884145736694336	-31.82245441690918
-228.0	-30.80390739440918	-30.78398895263672	-30.84670639038086	-30.79194961181298
-224.0	-29.785045623779297	-29.773258209228516	-29.832231521606445	-29.77591390125059
-220.0	-28.784805297851562	-28.778085708618164	-28.818744659423828	-28.774487095603945
-216.0	-27.794219970703125	-27.784440994262695	-27.83257293701172	-27.787809111096493
-212.0	-26.8270320892334	-26.815916061401367	-26.85051155090332	-26.81601992699558
-208.0	-25.87034034729004	-25.85464096069336	-25.88670539855957	-25.85925953991125
-204.0	-24.932846069335938	-24.91794776916504	-24.949636459350586	-24.917667915093233
-200.0	-24.00390625	-23.99292755126953	-24.028352737426758	-23.991384934628968
-196.0	-23.09920883178711	-23.08941650390625	-23.11820411682129	-23.080550342448447
-192.0	-22.20737075805664	-22.19118309020996	-22.224138259887695	-22.185303686044108
-188.0	-21.319265365600586	-21.30933952331543	-21.33758544921875	-21.30578425481798
-184.0	-20.456193923950195	-20.44000244140625	-20.473735809326172	-20.442131014973853
-180.0	-19.615802764892578	-19.593015670776367	-19.629541397094727	-19.594482540877067
-176.0	-18.77790069580078	-18.760190963745117	-18.802045822143555	-18.762976942812088
-172.0	-17.959659576416016	-17.943876266479492	-17.991531372070312	-17.94775179107603
-168.0	-17.159299850463867	-17.14885902404785	-17.187135696411133	-17.148944036355147
-164.0	-16.371984481811523	-16.362747192382812	-16.399747848510742	-16.36668992634293
-160.0	-15.612985610961914	-15.592916488647461	-15.632606506347656	-15.601124918568132
-156.0	-14.866674423217773	-14.842683792114258	-14.876953125	-14.852383589417798
-152.0	-14.134490966796875	-14.109039306640625	-14.143009185791016	-14.120599539351247
-148.0	-13.424808502197266	-13.401769638061523	-13.430906295776367	-13.405905294320178
-144.0	-12.719514846801758	-12.70042610168457	-12.736902236938477	-12.708432203426412
-140.0	-12.042732238769531	-12.017921447753906	-12.056388854980469	-12.028310332867818
-136.0	-11.384521484375	-11.351482391357422	-11.387456893920898	-11.365668356245465
-132.0	-10.73764419555664	-10.70634651184082	-10.734870910644531	-10.720633441324082
-128.0	-10.112667083740234	-10.069934844970703	-10.113794326782227	-10.093331133365666
-124.0	-9.501710891723633	-9.458745956420898	-9.496915817260742	-9.483885235177524
-120.0	-8.91372299194336	-8.874500274658203	-8.903764724731445	-8.892417684044858
