E	Sunny	MCX bridge	MCX native	exact
-160.0	-18.45478226711299	-18.37519066324967	-18.311768347672967	-18.277866970090827
-156.0	-17.649790435051784	-17.617549940010065	-17.563898339521472	-17.529125640940492
-152.0	-16.910754869616596	-16.89436548150644	-16.85819682256158	-16.79734159087394
-148.0	-16.203034477087442	-16.14325124502409	-16.132186104307948	-16.082647345842872
-144.0	-15.564277609771182	-15.466427211639655	-15.408967032944815	-15.385174254949106
-140.0	-14.81850008744101	-14.755166585176255	-14.759052097575761	-14.705052384390513
-136.0	-14.169615456271515	-14.145833801185859	-14.075912181727631	-14.042410407768159
-132.0	-13.529169688973582	-13.501097691670907	-13.411609453782091	-13.397375492846777
-128.0	-12.899032797552593	-12.857362688907017	-12.788621095687574	-12.77007318488836
-124.0	-12.316988214352989	-12.274854273940889	-12.150473475201409	-12.160627286700219
-120.0	-11.67959848387278	-11.669100453506758	-11.630062386551515	-11.569159735567553
-116.0	-11.096107492955582	-11.116645218377016	-10.998095189466994	-10.995790477266212
-112.0	-10.54828383631417	-10.561921528492917	-10.460764340182891	-10.4406373373821
-108.0	-10.018824235504383	-9.991789407703493	-9.94082950085027	-9.903815890190117
-104.0	-9.513564238685888	-9.484157057566165	-9.414154522749357	-9.385439325378627
-100.0	-8.995111158558814	-8.974963560532103	-8.91174885990148	-8.885618312932365
-96.0	-8.505631343990046	-8.519949819907538	-8.493051275841879	-8.404460866519571
-92.0	-8.094997344848764	-8.030927580167031	-7.933652637449768	-7.94207220575845
-88.0	-7.6240714600908746	-7.553676770638845	-7.460046436098935	-7.498554617766445
-84.0	-7.213447663566569	-7.176353378400336	-7.1027491502748035	-7.074007318426084
-80.0	-6.772461602003261	-6.722617969250564	-6.704859707752007	-6.66852631382676
-76.0	-6.430578896758618	-6.314742778272148	-6.294671489958432	-6.282204262368339
-72.0	-6.058664990186173	-6.006084752778122	-5.9430923503563235	-5.915130338034771
-68.0	-5.700544631637115	-5.637195327584038	-5.563065211521575	-5.567390095367784
-64.0	-5.335125634538656	-5.343681598899877	-5.254689032276019	-5.239065336686167
-60.0	-4.985947197904409	-4.9938613810840025	-4.956422372284578	-4.930233982112952
-56.0	-4.801463991990261	-4.736866103928037	-4.669812332369759	-4.640969942981201
-52.0	-4.470455357030971	-4.479109700876734	-4.349801052147541	-4.371342999195235
-48.0	-4.144277356940677	-4.172685596403937	-4.182790725755751	-4.121418681127011
-44.0	-4.035335929814266	-3.9742753990412893	-3.7934362994745925	-3.891258156622598
-40.0	-3.7014993595267356	-3.7008749298166776	-3.5390224011090368	-3.680918123686183
-36.0	-3.5622170435063367	-3.527853878717167	-3.535839165566756	-3.4904507093949064
-32.0	-3.2585973563155335	-3.4820741830092174	-3.407643986956316	-3.319903375579088
-28.0	-3.258882294435409	-3.311020434048828	-3.4073676198481166	-3.1693188317786394
-24.0	-3.1208040587853816	-3.1903703216551094	-3.1902094702522277	-3.0387349559558174
