native	replica_exchange
-1.8665541648903161	1.693985175986184
-1.64509006823951	1.9118242289776952
-1.563226990987863	1.7301165281055881
-1.8227979989405116	2.079258423717839
-2.2187616646676007	1.8520957818536625
-1.8591758048325944	1.711091415508252
-1.8247090007262785	1.6794788183846763
-2.0813369541465683	1.6979004726315057
-1.7546239624674154	1.3196892337585506
-1.6389495272087256	1.8471839990972407
-2.043421870487819	2.4033235383619433
-1.8391217385450407	1.7414286485223005
-1.692000116628634	1.7271438909466963
-1.680320645731514	1.663204224883826
-1.4259804128151499	1.851117260368754
-1.768473658657534	1.6850404330202318
-1.778273260035733	1.8662697715010077
-1.8206302478944154	2.211699785720416
-1.7820109092666576	2.0600182467804
-1.4063181472983595	-1.6621775535070098
-1.7025895778943223	-2.144171442935987
-1.6262253904589457	-1.8430336733565864
-1.7490672121885475	-1.5999142129366628
-2.2172022157211604	-2.1928846739189916
-1.65452809550684	-1.5900328974265643
-1.9939656579829876	-1.75021360085629
-1.9708343173281633	-1.6606393317230639
-1.5848498610048998	-1.6280139857124216
-1.9323445835074624	-1.468354503629042
-1.8430784622507632	-1.7994534587651203
-1.7030987658754384	-1.6290441582681776
-1.5012071721426197	-1.4987779645734238
-1.9125894038002695	-1.880554906564001
-1.843740379869286	-1.6246971800462664
-1.8719366654172982	-1.4489009618462734
-1.7088135083755236	-1.5059428547888354
-1.54136501625923	-1.6165166721753623
-1.7870342053607846	-1.4340913379530484
-1.9144620696399937	-1.8590600522359195
-1.9277793834877683	-1.7939565677455152
-2.17437152323403	-1.7676213572517745
-1.6746537577040257	-1.6618408513621754
-1.989269237602721	-1.9359828271923794
-1.7865785441328188	-1.8269744842440367
-1.8635279004178056	-1.888589375051616
-1.4986587054286926	-1.3134092195872216
-1.546223701676722	-1.6000415618256212
-1.8055131257512147	-1.6309163617107127
-1.9898356483597377	-2.085514627886357
-1.6795590024843927	-1.917225146733717
-1.67889772034089	-1.7593997168782016
-1.5873986443207073	-1.728988391088671
-2.045550599043397	-1.6626434438070476
-1.8695337775898067	-1.775636145671138
-1.683794235603625	-1.917385954515498
-1.5554840522263684	-1.4665816312539708
-1.6338126570564153	-2.226340565786262
-1.8095742327330826	-1.6188053922691188
-1.798259405893724	-1.9097443161773053
-1.8185368955321293	-1.788602782079726
-1.6326510425212555	-1.3869673853118822
-1.843167344676195	-2.099326615770913
-1.9154068105778381	-1.5868100674983947
-1.4941209295840099	-1.9118167989021932
-1.2956389495991105	-1.6535774741259717
-2.13439074881574	-1.5953283943642194
